combination,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation
KAZE+KAZE+2.00,50.05689655172414,52.02060471108097,0.2539051724137931,0.2634102192283659,92434,29033,17356,0.4193036837873673,0.22092160219910947,0.4201966615234771,0.3544946649982315,0.02898485171431294,0.299198479361195,0.526209343222377,0.379614282979218,0.5288657883802401,0.7014537772004215
ORB+ORB+2.00,64.11724137931034,54.23168732052684,0.3205862068965517,0.2711584366026342,98955,37188,17350,0.39219403335946607,0.21148583577463495,0.37974794096552655,0.2834161564176985,0.029291165545172634,0.22348911366784158,0.49059382237650057,0.2253224866213231,0.5181087567808912,0.6644792112406616
SIFT+SIFT+2.00,31.144827586206898,39.72981670376924,0.15572413793103448,0.1986490835188462,94720,18064,13439,0.365299173876815,0.18260780343898927,0.399276162375399,0.31024400700118915,0.03290222099929339,0.3126161268574164,0.5427076825507565,0.406936148724756,0.5371664866235418,0.5912399536233878
SIFT_HIGH_SIG+SIFT_HIGH_SIG+2.00,41.01034482758621,41.69738968781674,0.22646036224919142,0.22826023610340224,92087,23786,16616,0.43375383601876355,0.2450311147603742,0.4438761955831875,0.3695227016036596,0.03469544802243818,0.35707865354671964,0.6194931118886591,0.45576992195067295,0.5931533399949922,0.6436250590965897
KAZE+KAZE+2.50,53.15,52.39409597562924,0.26947413793103453,0.26533405136527805,92434,30827,17822,0.4201649744150147,0.22647782650012152,0.42252432977433235,0.3493148859721802,0.028891261560164246,0.2946545616645552,0.546159219056413,0.36694821574319014,0.5348196596697697,0.6855004373318484
ORB+ORB+2.50,69.04655172413793,54.31186672744492,0.3452327586206897,0.27155933363722456,98955,40047,18311,0.3927841788314353,0.22197388520512334,0.3834483944373599,0.27958143995452,0.03029785393295299,0.22040644221217942,0.503645547885039,0.23357526122712377,0.5266423050301046,0.6512591752167952
SIFT+SIFT+2.50,32.64655172413793,40.23616796176451,0.16323275862068964,0.20118083980882254,94720,18935,13665,0.36874835792346405,0.1845259754025789,0.4068539647620677,0.31229331005509375,0.03244085187914648,0.31440736437965,0.5309467821824223,0.40941054032020924,0.5231340819873672,0.5776493845284342
SIFT_HIGH_SIG+SIFT_HIGH_SIG+2.50,44.422413793103445,42.19751399403822,0.24449997084625935,0.2308539517189403,92087,25765,16854,0.4350966996237673,0.24781666916311124,0.44611442998003736,0.36741988338502124,0.03389699915709881,0.3550066910725613,0.6359748327545452,0.4409904973555551,0.6241987802926078,0.6656012153477737
KAZE+KAZE+3.00,56.0551724137931,52.73901641627838,0.28411637931034484,0.26715330706000534,92434,32512,18325,0.4217654861004216,0.2314100714549107,0.42522419465808636,0.3448230698264917,0.028826636283734493,0.28831830962799393,0.5567669240025159,0.3614640172285581,0.547268671068962,0.6870772573173893
ORB+ORB+3.00,73.42241379310344,54.34702524328532,0.36711206896551724,0.27173512621642665,98955,42585,19403,0.39683177786102114,0.23279821427874395,0.3881811534654538,0.2773826609839856,0.03110017786692566,0.21735832110289727,0.5025834200981047,0.21840179050661282,0.530209018794393,0.695230597660117
SIFT+SIFT+3.00,34.6,41.35525651449052,0.17300000000000001,0.20677628257245256,94720,20068,13849,0.3718510083399965,0.18793491600481912,0.41006614012654036,0.31356124937999785,0.031600719810937615,0.31391819227553086,0.539056125828927,0.40658410748901436,0.5312453891500942,0.5890391864652313
SIFT_HIGH_SIG+SIFT_HIGH_SIG+3.00,48.66551724137931,43.51296101688093,0.2673887704133028,0.23836432056054724,92087,28226,17100,0.4373287468817835,0.2534201655271868,0.4484109002718454,0.3640823304342808,0.03258499315935742,0.3513242295334626,0.6572471767913642,0.4242079401387305,0.629162451140728,0.6834216890473837
KAZE+KAZE+4.00,61.3448275862069,52.98716556512007,0.31093965517241373,0.26907168121964053,92434,35580,19014,0.4226639548245506,0.2387455477302022,0.4267557795051397,0.3386714601773145,0.029256387429279804,0.28106479636560133,0.5654615583190064,0.3581285623522543,0.556386991478809,0.6619515453295175
ORB+ORB+4.00,80.4448275862069,54.182438217352036,0.4022241379310345,0.2709121910867602,98955,46658,21698,0.41134887987152036,0.2547367546647197,0.4004902255010961,0.27681844552946844,0.03407941450266617,0.21402672876043144,0.5081590095369981,0.19535310847002801,0.5399928963227761,0.7315724269510769
SIFT+SIFT+4.00,37.71551724137931,43.162005568931356,0.18857758620689652,0.21581002784465678,94720,21875,14069,0.37472398877946134,0.1901967849261728,0.41331715146238857,0.31307875353523174,0.03026711649889886,0.3108745703662651,0.5644576937740509,0.3987062561827354,0.5513037538858176,0.6236742292047645
SIFT_HIGH_SIG+SIFT_HIGH_SIG+4.00,55.987931034482756,45.16309363577593,0.30625635216286773,0.24736108001806145,92087,32473,17496,0.4408134503112126,0.25699448207729203,0.4521966243083799,0.3606753736429115,0.030965573169020145,0.34723465451849084,0.6561827196313776,0.4043525980318353,0.637872949754855,0.6907002788849179
KAZE+KAZE+5.00,66.08275862068966,52.96326032368239,0.3347586206896552,0.26898128766763474,92434,38328,19549,0.4251653914954179,0.24438368775514813,0.42919723454427017,0.3347139274258028,0.028940597104504945,0.2766201429893615,0.5689638974459948,0.3491713955901184,0.5575569578216075,0.7124568887867027
ORB+ORB+5.00,85.95862068965518,53.776565318062545,0.42979310344827587,0.26888282659031276,98955,49856,24080,0.42835651508873945,0.2785456736168405,0.41595144954257485,0.28121329777503035,0.03698390262272684,0.2149696210956009,0.49529989635562943,0.1820409852534347,0.5487892728638879,0.7494535957841718
SIFT+SIFT+5.00,40.44310344827586,44.30628355868276,0.20221551724137932,0.2215314177934138,94720,23457,14220,0.3763000609447361,0.192117535171709,0.4145213327302951,0.310059934235516,0.029411964125870597,0.3069411120328696,0.5845810184940076,0.38838025167471113,0.5773128629099983,0.6384793261369968
SIFT_HIGH_SIG+SIFT_HIGH_SIG+5.00,61.96896551724138,46.219219792638114,0.33761942310879944,0.25242924623765195,92087,35942,17901,0.443409925463687,0.2608490765402855,0.45338893895837845,0.357650748628482,0.0320770297408821,0.3432325421036732,0.6883629777308403,0.3886026146504986,0.6515807800780012,0.7136489132847395
