combination,speed [images/second],repeatability: mean [%],repeatability std,total number of matches,number of possible correct matches,total number of correct matches,ratio correct/total matches,ratio correct/possible correct matches, keypoint size: mean [pixels],size std,size normalized std,size min,size max,size unique count,size correct: avg,keypoint size correct/all ratio,total number of keypoints,correct matches per sequence: mean,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP [%],Matching average response mAP [%],Matching distinctiveness mAP [%],Verification distance AP [%],Verification average response AP [%],Verification distinctiveness AP [%],Retrieval distance mAP [%],Retrieval average response mAP [%],Retrieval distinctiveness mAP [%],distance-to-distinctiveness correlation,distance-to-average response correlation
FAST+SIFT,0,0.37632000000000004,0.21104024392641738,256670,108192,90749,0.35356294074102934,0.8387773587695948,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,789.1217391304348,419.32527890339526,0.555700648460935,1.0459141296999943,0.47790630873397205,0.9087123640737034,1.9014445874987198,4.858094050726614,9.726908516453175,0.13193533813044772,1.2310351022916606,0.06241477383410605,0.0007162613362130712,0.8300174107462565,0.4709028523748467,0.8211964856821454,0.8174784587911524,0.15174977594883443,0.7318512975000591,0.9715048905420295,0.9189969216247019,0.9726173563571431,0.5052740826197912,0.028039475533246216
FAST+BRIEF,0,0.37940173913043473,0.2103904866350678,266735,109078,80353,0.30124655557013513,0.7366563376666239,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,698.7217391304348,403.4605427144148,0.5311446353787213,1.034449469067453,0.22769644787870236,0.5307224515455649,2.3308332496618016,4.0509719384407745,8.356642350171533,0.17009943623760157,1.3412310991281327,0.044058709955573885,0.0005849190447151942,0.730082652923424,0.4186026636156438,0.7976462157134411,0.6939591063334639,0.12792751570091632,0.7591837931486661,0.9368853546656233,0.843814050506534,0.9534320059993633,0.6029605872316242,0.021806737463655367
FAST+DAISY,0,0.37632000000000004,0.21104024392641738,237818,108192,75292,0.3165950432683817,0.6959109730848861,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,654.7130434782608,382.1854492990996,0.6198634338423623,1.0501136521542016,0.02009293262172316,0.02018010370426488,1.0043383952050622,5.2833048802025075,10.218455292102428,0.3766668437549806,2.5898755474566086,0.07104592587609011,0.0033735323805982043,0.6783095227134707,0.4260517434679312,0.7542105922528564,0.4582938029793048,0.12793416862041954,0.4726752722397506,0.9294757300708124,0.8616697492948994,0.9551746747930705,0.4852987524625616,-0.09595783407325097
FAST+FREAK,0,0.3785495652173913,0.21051470809874048,264956,108833,58809,0.22195760805567716,0.5403600011026067,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,345000,511.38260869565215,342.99744155741723,0.6055812118577578,1.0117835447266617,0.3052447588643201,0.7161914897737971,2.3462859524220065,4.1138641887709655,8.436682180287365,0.2526484041558265,1.6133094662041845,0.045158441401591205,0.0010882688023941913,0.6253166876982961,0.3115150599630306,0.6861986724903476,0.560028492365799,0.08262022079870684,0.610316515370212,0.8894575904022524,0.6552237101141469,0.8977296320719018,0.603590822670907,0.034333199446949896
GFTT+BRISK,0,0.28426086956521734,0.22014242373899368,271677,81725,50171,0.1846715032925128,0.6139002753135515,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343603,436.2695652173913,382.6934139408777,0.5708051742377902,1.0126192077706904,0.3338871562914339,0.823215266620905,2.4655493663324997,3.798713177780968,7.975316761167376,0.12850052819357796,1.0125929408347791,0.038965389046551606,0.0003787048294831676,0.6037293514559975,0.2602145421094775,0.6389221664310141,0.6415986311707076,0.08366393588277461,0.7161210678051253,0.9185859277862697,0.6872769592602068,0.9181543022325335,0.7242514341487919,-0.026092437453565848
GFTT+ORB,0,0.28580173913043483,0.21963282164740658,266496,82168,62351,0.23396598823246878,0.7588233862330834,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343171,542.1826086956522,431.0676247282401,0.5067688674911567,1.054892237704166,0.22108521591852057,0.5769722029447963,2.6097276588473264,4.335322106147935,8.632645625324209,0.14264406344725827,1.2195667283584477,0.048117044908741594,0.0004971852897307181,0.5809183167167369,0.3278469000964781,0.6608041422424027,0.62253006379348,0.11067516256948239,0.7361623030444364,0.9040525080692748,0.8291097223678718,0.940645160960507,0.5134889215764584,-0.015941428551568257
GFTT+SIFT,0,0.28450434782608697,0.21989759568897532,263620,81795,66966,0.2540247325696078,0.8187052998349532,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343877,582.3130434782609,439.7247432540812,0.5064014507472009,1.0704930208280585,0.5072027806395484,0.9486280630429502,1.8703132144638372,3.9661899704119565,8.55014432339374,0.08369919063405311,0.8263847269513084,0.045884227296866704,0.00020906131469701042,0.6721039572530978,0.3542438395654699,0.6811409060358711,0.7499478435910126,0.12308886116723891,0.7152222106093098,0.9598083163987061,0.8852738704234571,0.965301963543112,0.5793219784893272,0.037451798556940134
GFTT+BRIEF,0,0.2858052173913043,0.21984137437211929,263692,82169,62176,0.23579024012863492,0.7566843943579695,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343243,540.6608695652174,416.6618248590768,0.4771388514798037,1.0563661770193036,0.22597507297378178,0.5587036123038551,2.4724125760927507,4.168207605843181,8.546352783271466,0.12101132269686052,1.100077130302679,0.04655810566873474,0.0004181677817807514,0.6099487463779049,0.3285023658236035,0.6605818047680725,0.6758076596952206,0.11213078338187005,0.6998189123338578,0.9384783574295393,0.8645388949935521,0.9582391468407704,0.5418048510762562,0.003941122702237413
GFTT+DAISY,0,0.28450434782608697,0.21989759568897532,234531,81795,58270,0.2484532961527474,0.7123907329298856,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343877,506.69565217391306,385.94050395079296,0.5684456852396437,1.0949197618583244,0.02009320739499915,0.020188264610875608,1.0047308134539097,5.474163330220739,10.458060763258308,0.31927235284022654,2.4257650284019734,0.07536317160631217,0.002883130255706195,0.5899694832380207,0.34223964237479415,0.6172941759975308,0.484402067484499,0.11718619400599943,0.40468795572152627,0.9294229957511684,0.8680232377138918,0.9603862727278086,0.49511691749581055,-0.12433571293791588
GFTT+FREAK,0,0.2853495652173913,0.2199523772068431,264695,82038,51407,0.19421220650182286,0.6266242473000317,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,343355,447.0173913043478,373.7976663245993,0.5752413450737109,1.0185560289968079,0.32138924144257636,0.7639699385209991,2.3770862244544055,4.00402727667693,8.329285387004868,0.17520960180520162,1.2517685438048576,0.04354067889457678,0.0006030307156612912,0.5661504915789791,0.2697274437887349,0.613888650202994,0.5911970373847412,0.08480087366024733,0.6509555102936114,0.9075459357121645,0.7053684741241539,0.9149985896084306,0.614490230389621,0.0008000745760023922
